datetime,hr,rri
2019-04-02 19:55:44.882,83, 748
2019-04-02 19:55:45.798,83, 808
2019-04-02 19:55:46.816,82, 822
2019-04-02 19:55:47.832,81, 828
2019-04-02 19:55:48.797,80, 835
2019-04-02 19:55:49.822,79, 884
2019-04-02 19:55:50.836,77, 839
2019-04-02 19:55:51.792,77, 710
2019-04-02 19:55:52.812,78, 665
2019-04-02 19:55:53.837,80, 652
2019-04-02 19:55:54.792,82, 671
2019-04-02 19:55:55.812,83, 674
2019-04-02 19:55:56.842,83, 699
2019-04-02 19:55:57.796,84, 722
2019-04-02 19:55:58.814,84, 766
2019-04-02 19:55:59.833,83, 772
2019-04-02 19:56:00.805,82, 780
2019-04-02 19:56:01.813,81, 787
2019-04-02 19:56:02.835,81, 767
2019-04-02 19:56:03.793,81, 769
2019-04-02 19:56:04.814,80, 823
2019-04-02 19:56:05.841,80, 847
2019-04-02 19:56:06.793,78, 876
2019-04-02 19:56:07.820,77, 832
2019-04-02 19:56:08.834,77, 813
2019-04-02 19:56:09.797,76, 849
2019-04-02 19:56:10.816,76, 840
2019-04-02 19:56:11.842,75, 833
2019-04-02 19:56:12.792,75, 829
2019-04-02 19:56:13.815,74, 820
2019-04-02 19:56:15.060,74, 856
2019-04-02 19:56:16.057,74, 905
2019-04-02 19:56:17.038,73, 943
2019-04-02 19:56:18.027,72, 966
2019-04-02 19:56:19.028,72, 947
2019-04-02 19:56:20.007,71, 897
2019-04-02 19:56:20.999,70, 852
2019-04-02 19:56:21.990,70, 851
2019-04-02 19:56:22.979,70, 872
2019-04-02 19:56:23.978,70, 864
2019-04-02 19:56:24.959,70, 877
2019-04-02 19:56:25.947,70, 843
2019-04-02 19:56:26.948,70, 821
2019-04-02 19:56:27.929,70, 858
2019-04-02 19:56:28.918,71, 910
2019-04-02 19:56:29.906,70, 935
2019-04-02 19:56:30.898,70, 892
2019-04-02 19:56:31.887,69, 843
2019-04-02 19:56:32.876,69, 819
2019-04-02 19:56:33.879,70, 845
2019-04-02 19:56:34.858,70, 917
2019-04-02 19:56:35.850,69, 907
2019-04-02 19:56:36.846,69, 868
2019-04-02 19:56:38.325,69, 858
2019-04-02 19:56:38.816,69, 903
2019-04-02 19:56:39.808,69, 920
2019-04-02 19:56:40.796,69, 926
2019-04-02 19:56:41.792,68, 890
2019-04-02 19:56:43.271,68, 856
2019-04-02 19:56:44.264,68, 865
2019-04-02 19:56:45.254,68, 869
2019-04-02 19:56:46.251,69, 860
2019-04-02 19:56:47.233,69, 830
2019-04-02 19:56:48.224,69, 826
2019-04-02 19:56:49.216,70, 869
2019-04-02 19:56:50.200,70, 927
2019-04-02 19:56:51.191,70, 917
2019-04-02 19:56:52.192,69, 866
2019-04-02 19:56:53.179,69, 829
2019-04-02 19:56:54.163,69, 835
2019-04-02 19:56:55.153,70, 883
2019-04-02 19:56:57.137,70, 871
2019-04-02 19:56:57.154,69, 827
2019-04-02 19:56:58.123,70, 791
2019-04-02 19:56:59.110,70, 809
2019-04-02 19:57:00.100,71, 889
2019-04-02 19:57:01.091,71, 881
2019-04-02 19:57:02.080,70, 837
2019-04-02 19:57:03.070,70, 819
2019-04-02 19:57:04.067,70, 833
2019-04-02 19:57:05.050,71, 872
2019-04-02 19:57:06.041,70, 850
2019-04-02 19:57:07.039,70, 811
2019-04-02 19:57:08.021,71, 772
2019-04-02 19:57:09.017,72, 717
2019-04-02 19:57:10.004,73, 771
2019-04-02 19:57:10.995,74, 801
2019-04-02 19:57:11.985,74, 813
2019-04-02 19:57:12.981,74, 825
2019-04-02 19:57:13.962,74, 867
2019-04-02 19:57:14.950,74, 905
2019-04-02 19:57:15.949,73, 918
2019-04-02 19:57:16.933,72, 894
2019-04-02 19:57:17.930,72, 856
2019-04-02 19:57:18.911,71, 865
2019-04-02 19:57:19.901,71, 867
2019-04-02 19:57:21.385,71, 890
2019-04-02 19:57:21.883,70, 893
2019-04-02 19:57:22.871,70, 832
2019-04-02 19:57:23.863,70, 798
2019-04-02 19:57:24.861,70, 813
2019-04-02 19:57:25.841,71, 865
2019-04-02 19:57:26.831,70, 904
2019-04-02 19:57:27.819,70, 870
2019-04-02 19:57:28.809,70, 803
2019-04-02 19:57:29.801,71, 772
2019-04-02 19:57:30.798,71, 805
2019-04-02 19:57:31.780,72, 848
2019-04-02 19:57:33.270,72, 882
2019-04-02 19:57:34.258,72, 845
2019-04-02 19:57:35.246,71, 813
2019-04-02 19:57:36.235,72, 815
2019-04-02 19:57:37.224,72, 830
2019-04-02 19:57:38.216,72, 807
2019-04-02 19:57:39.211,72, 769
2019-04-02 19:57:40.194,73, 804
2019-04-02 19:57:41.187,73, 861
2019-04-02 19:57:42.182,72, 881
2019-04-02 19:57:43.174,72, 825
2019-04-02 19:57:44.157,72, 790
2019-04-02 19:57:46.137,72, 802
2019-04-02 19:57:46.156,73, 740
2019-04-02 19:57:47.129,74, 705
2019-04-02 19:57:48.117,75, 759
2019-04-02 19:57:49.105,76, 813
2019-04-02 19:57:50.100,76, 877
2019-04-02 19:57:51.094,75, 862
2019-04-02 19:57:52.074,74, 817
2019-04-02 19:57:53.066,74, 816
2019-04-02 19:57:54.057,74, 842
2019-04-02 19:57:55.045,74, 853
2019-04-02 19:57:56.035,74, 824
2019-04-02 19:57:57.029,74, 796
2019-04-02 19:57:58.018,74, 814
2019-04-02 19:57:59.009,74, 827
2019-04-02 19:57:59.998,74, 827
2019-04-02 19:58:00.987,74, 806
2019-04-02 19:58:01.983,74, 810
2019-04-02 19:58:02.975,74, 893
2019-04-02 19:58:03.954,73, 901
2019-04-02 19:58:04.944,72, 869
2019-04-02 19:58:05.934,72, 863
2019-04-02 19:58:06.923,72, 888
2019-04-02 19:58:07.914,71, 938
2019-04-02 19:58:08.904,71, 943
2019-04-02 19:58:09.905,70, 908
2019-04-02 19:58:11.383,69, 813
2019-04-02 19:58:12.373,70, 821
2019-04-02 19:58:12.867,70, 857
2019-04-02 19:58:13.852,70, 888
2019-04-02 19:58:14.845,70, 912
2019-04-02 19:58:15.836,70, 903
2019-04-02 19:58:16.823,69, 876
2019-04-02 19:58:17.817,69, 886
2019-04-02 19:58:18.803,69, 882
2019-04-02 19:58:19.793,69, 893
2019-04-02 19:58:20.790,69, 873
2019-04-02 19:58:21.776,69, 866
2019-04-02 19:58:23.260,69, 892
2019-04-02 19:58:24.249,69, 982
2019-04-02 19:58:25.238,68, 1003
